County,Urban_Percentage,Pop2010_Sum,OHU2010_Sum,lapophalf_Sum,lalowihalf_Sum,lahunvhalf_Sum,lapop1_Sum,lalowi1_Sum,lahunv1_Sum,MedianFamilyIncome_Avg,lapophalfshare_Avg,lalowihalfshare_Avg,lahunvhalfshare_Avg,lapop1share_Avg,lalowi1share_Avg,lahunv1share_Avg
Albany County,88.23529411764706,340503,141942,254346.0,64357.0,10922.0,131006.0,24535.0,3339.0,84949.85714285714,74.44940476190476,20.546904761904763,8.222857142857142,49.96484375,9.8875,2.90765625
Albemarle County,45.45454545454545,98970,38157,79776.0,17393.0,983.0,56224.0,10960.0,391.0,98792.66666666667,80.62363636363636,19.180909090909093,5.490454545454546,63.31849999999999,12.6085,1.136
Alcona County,0.0,10942,5089,10224.0,4077.0,187.0,9559.0,3773.0,171.0,50685.2,94.44,37.144,3.5439999999999996,89.224,34.802,3.2880000000000003
Alcorn County,28.57142857142857,37057,15039,33493.0,14505.0,584.0,28339.0,11915.0,487.0,49900.0,92.32285714285715,40.15857142857143,3.924285714285714,79.7957142857143,33.86,3.4114285714285715
Aleutians East Borough,0.0,3141,553,3041.0,1081.0,131.0,2950.0,1047.0,126.0,77941.0,96.83,34.41,23.69,93.93,33.33,22.75
Aleutians West Census Area,0.0,5561,1212,4570.0,1317.0,159.0,3409.0,999.0,133.0,79297.0,88.675,28.369999999999997,21.145,75.405,24.73,19.765
Alexander County,36.36363636363637,45436,17754,43074.0,17359.0,723.0,39469.0,16016.0,639.0,49914.90909090909,96.7309090909091,41.415454545454544,5.246363636363636,91.78636363636363,39.58090909090909,4.956363636363637
Alexandria city,100.0,139966,68082,28658.0,4497.0,720.0,0.0,0.0,0.0,137848.57894736843,24.893333333333334,3.4487878787878787,1.1812121212121214,,,
Alfalfa County,0.0,5642,2022,4626.0,1160.0,43.0,4119.0,1061.0,35.0,68327.0,75.42333333333333,19.153333333333332,2.1733333333333333,62.89666666666667,16.706666666666667,1.6600000000000001
Alger County,0.0,9601,3898,8285.0,2925.0,205.0,7462.0,2661.0,177.0,59486.666666666664,87.18333333333334,30.393333333333334,5.496666666666666,78.57666666666667,27.626666666666665,4.826666666666667
Allamakee County,20.0,14330,5845,10461.0,3013.0,147.0,7789.0,2023.0,91.0,68063.2,75.60799999999999,21.235999999999997,2.484,60.74400000000001,15.663999999999998,1.762
Allegan County,37.5,111408,42018,98657.0,26899.0,1526.0,77947.0,20091.0,1019.0,69043.33333333333,89.62875000000001,24.6875,3.5895833333333336,69.65291666666667,18.3425,2.4391666666666665
Allegany County,38.88888888888889,124033,47385,109053.0,40433.0,3468.0,85037.0,30262.0,2090.0,58714.45714285714,88.57055555555556,31.913333333333338,7.3516666666666675,71.04294117647059,24.00029411764706,4.557058823529411
Alleghany County,11.11111111111111,27405,11669,25987.0,11013.0,587.0,22748.0,9357.0,469.0,56863.333333333336,95.94222222222223,38.43222222222222,4.545555555555556,85.60444444444445,33.224444444444444,3.696666666666667
Allegheny County,96.5,1223348,533960,855239.0,215467.0,40164.0,360847.0,73796.0,11955.0,78055.12176165803,71.3534036939314,20.364168865435357,9.417915567282321,43.50502074688797,10.105103734439833,3.920371900826446
Allen County,77.85714285714286,494987,191793,406762.0,130831.0,9688.0,253932.0,73456.0,5110.0,61033.44525547445,81.73792857142857,29.822214285714285,6.002214285714286,56.4303305785124,18.332231404958677,3.4358677685950414
Allen Parish,40.0,25764,8516,22546.0,8814.0,522.0,17652.0,6319.0,250.0,53163.0,86.152,35.583999999999996,7.2379999999999995,63.722,23.744,3.2119999999999997
Allendale County,0.0,10419,3706,9128.0,5009.0,553.0,7295.0,3665.0,311.0,43748.0,91.64666666666666,51.50666666666667,11.873333333333335,79.78666666666668,42.80666666666667,7.933333333333334
Alpena County,55.55555555555556,29598,12791,25410.0,9490.0,743.0,15325.0,5191.0,259.0,55712.333333333336,83.57111111111111,31.848888888888887,5.9188888888888895,50.255,16.87625,2.0300000000000002
Alpine County,0.0,1175,497,1175.0,418.0,30.0,1175.0,418.0,30.0,82813.0,100.0,35.6,6.02,100.0,35.6,6.02
Amador County,0.0,38091,14569,33007.0,8320.0,653.0,25742.0,6362.0,459.0,74668.22222222222,85.73444444444445,23.135555555555555,4.268888888888889,66.86888888888889,17.676666666666666,3.052222222222222
Amelia County,0.0,12690,4821,12646.0,3970.0,163.0,12441.0,3910.0,163.0,73719.5,99.67500000000001,31.14,3.3049999999999997,98.145,30.689999999999998,3.3049999999999997
Amherst County,44.44444444444444,32353,12560,29275.0,9348.0,497.0,22872.0,6895.0,309.0,59702.555555555555,90.25111111111111,30.991111111111113,3.873333333333333,62.37222222222223,19.380000000000003,2.373333333333333
Amite County,0.0,13131,5351,12141.0,5949.0,308.0,11162.0,5404.0,257.0,42115.333333333336,91.60333333333334,45.373333333333335,5.896666666666666,83.80666666666667,40.93,4.8566666666666665
Anchorage Municipality,94.54545454545455,291826,107332,212595.0,41102.0,3578.0,89739.0,14114.0,987.0,99590.41818181818,72.94036363636363,14.49218181818182,3.7796363636363637,47.1675,7.414444444444445,1.7355555555555555
Anderson County,50.0,350236,133929,309029.0,113732.0,7129.0,241999.0,84960.0,4672.0,59912.191780821915,86.9822972972973,33.013243243243245,5.482432432432432,66.60108108108108,23.994999999999997,3.632702702702703
Andrew County,25.0,17291,6700,14776.0,4098.0,211.0,10992.0,2982.0,140.0,70708.25,90.60499999999999,26.4,3.7175,75.61,22.0075,3.045
Andrews County,50.0,14786,5259,12440.0,3173.0,151.0,7560.0,2104.0,87.0,88329.0,90.9025,23.8675,2.375,61.542500000000004,17.02,1.6175
Androscoggin County,46.42857142857143,107702,44315,81577.0,22522.0,1746.0,57989.0,13780.0,790.0,60671.28571428572,72.57821428571428,21.201071428571428,4.1525,59.32739130434783,14.433913043478261,2.0243478260869563
Angelina County,47.05882352941176,86771,31090,76667.0,31717.0,1480.0,58700.0,23100.0,921.0,58159.41176470588,87.73235294117647,36.51529411764706,4.909411764705882,66.82117647058824,26.177647058823528,3.0
Anne Arundel County,93.26923076923077,537656,199378,406965.0,55237.0,4722.0,209639.0,25609.0,2276.0,113648.88235294117,77.25500000000001,10.762980769230769,2.4975961538461537,45.32734042553192,5.683404255319149,1.3145744680851064
Anoka County,83.13253012048193,330844,121227,278989.0,49090.0,4500.0,177069.0,27632.0,2311.0,91648.06024096385,83.25987951807228,15.343132530120482,3.6649397590361446,59.545,9.683783783783785,2.137837837837838
Anson County,16.666666666666664,26948,9755,25536.0,11357.0,929.0,21830.0,9196.0,677.0,49201.0,96.05166666666666,44.181666666666665,9.353333333333333,82.865,36.54,6.946666666666666
Antelope County,0.0,6685,2841,4836.0,1819.0,47.0,3962.0,1554.0,29.0,62014.666666666664,70.83666666666666,26.180000000000003,1.6433333333333333,55.71,21.513333333333332,0.9
Antrim County,0.0,23580,9890,20679.0,6801.0,316.0,17804.0,5772.0,256.0,64206.42857142857,88.31428571428572,27.678571428571427,3.1042857142857145,76.42285714285715,23.669999999999998,2.508571428571429
Apache County,6.25,71518,22771,68078.0,41823.0,2677.0,62704.0,39413.0,2555.0,40798.75,95.2,58.668124999999996,12.153125,87.6925,55.2875,11.57625
Appanoose County,40.0,12887,5627,9358.0,3358.0,240.0,7189.0,2408.0,138.0,54832.6,76.792,26.942,4.104,62.45799999999999,20.662,2.582
Appling County,40.0,18236,6969,17326.0,8162.0,535.0,14825.0,6780.0,388.0,50496.6,96.322,42.662,7.134,86.076,36.986000000000004,5.54
Appomattox County,0.0,14973,6033,14708.0,4609.0,306.0,13915.0,4311.0,277.0,67325.66666666667,98.63333333333333,30.55,4.666666666666667,94.53000000000002,29.01,4.303333333333334
Aransas County,60.0,23158,9795,21596.0,8659.0,427.0,18182.0,7873.0,341.0,66071.8,85.75399999999999,33.61,5.106,68.168,30.821999999999996,3.95
Arapahoe County,95.91836734693877,572003,224011,357565.0,72212.0,4986.0,96164.0,14864.0,956.0,94211.77551020408,63.78693877551021,12.807142857142857,2.2060544217687075,34.23368421052631,5.275394736842105,0.8126315789473684
Archer County,0.0,9054,3538,7943.0,1868.0,92.0,7219.0,1562.0,88.0,81102.0,89.75,20.180000000000003,2.6599999999999997,83.07333333333334,17.36,2.5666666666666664
Archuleta County,25.0,12084,5267,11588.0,3922.0,58.0,10291.0,3500.0,52.0,60161.0,97.305,33.025,1.095,90.455,30.7,1.025
Arenac County,0.0,15899,6701,14870.0,6016.0,346.0,13078.0,5172.0,280.0,51490.0,93.67,38.006,4.996,84.078,33.510000000000005,4.178
Arkansas County,50.0,19019,8005,16974.0,7410.0,715.0,12310.0,5478.0,554.0,54667.0,90.71375,37.74875,8.21625,71.99375,30.255,6.72625
Arlington County,100.0,207627,98050,60765.0,8119.0,1852.0,4799.0,163.0,3.0,155629.1754385965,40.452666666666666,5.624,2.92,12.680000000000001,0.4371428571428571,0.03
Armstrong County,25.0,70842,29464,63164.0,19123.0,1426.0,51440.0,14591.0,997.0,62104.95,88.59450000000001,27.5005,4.9625,76.35473684210527,22.162105263157894,3.677368421052632
Aroostook County,4.166666666666666,71870,30961,55328.0,22314.0,1734.0,45537.0,18074.0,1304.0,52540.166666666664,79.01291666666667,32.043749999999996,5.659166666666667,65.80833333333334,26.333333333333332,4.3725
Arthur County,0.0,460,187,460.0,158.0,0.0,460.0,158.0,0.0,66250.0,100.0,34.45,0.0,100.0,34.45,0.0
Ascension Parish,85.71428571428571,107215,37790,89863.0,21492.0,1209.0,57022.0,13311.0,752.0,80822.64285714286,83.84357142857142,22.634285714285713,3.6392857142857147,53.76,13.992142857142856,2.1735714285714285
Ashe County,16.666666666666664,27281,11755,26291.0,10023.0,701.0,23950.0,8942.0,594.0,53327.166666666664,97.03166666666668,38.46666666666667,5.978333333333333,89.89666666666666,35.30166666666667,5.246666666666667
Ashland County,33.33333333333333,69296,26932,54115.0,17825.0,1235.0,39714.0,12720.0,854.0,60902.055555555555,75.495,26.42,4.809444444444444,58.22764705882353,19.992941176470588,3.592941176470588
Ashley County,28.57142857142857,21853,8765,19156.0,8631.0,605.0,13131.0,5507.0,372.0,51288.0,91.74571428571429,40.871428571428574,7.091428571428572,74.19714285714285,31.860000000000003,5.55
Ashtabula County,52.0,101497,39363,89017.0,36577.0,3203.0,67445.0,27253.0,2504.0,55243.08,87.3208,36.308,8.0824,64.6896,26.1948,6.0864
Asotin County,83.33333333333334,21623,9236,14931.0,5120.0,237.0,5713.0,1578.0,44.0,60909.166666666664,68.38,24.473333333333333,2.7899999999999996,28.008,8.07,0.626
Assumption Parish,0.0,23421,8736,22030.0,8985.0,569.0,18922.0,7833.0,476.0,55458.333333333336,94.71666666666665,40.03666666666667,7.076666666666667,82.92833333333334,35.52166666666667,6.058333333333334
Atascosa County,37.5,44911,15246,40030.0,15691.0,898.0,30687.0,12039.0,680.0,60860.625,88.06,34.86,5.84375,68.7075,27.2475,4.54875
Atchison County,50.0,22609,8739,19130.0,6414.0,452.0,10928.0,3255.0,180.0,64406.166666666664,81.53833333333334,27.43166666666667,5.381666666666667,43.76166666666666,13.198333333333332,1.9283333333333335
Athens County,33.33333333333333,64757,23578,57046.0,28952.0,1557.0,41871.0,20168.0,1045.0,59048.92857142857,88.69466666666668,44.61066666666667,7.310666666666666,70.08500000000001,32.62357142857143,5.100714285714285
Atkinson County,0.0,8375,2983,8020.0,4576.0,239.0,7329.0,4142.0,217.0,39476.666666666664,97.66000000000001,56.879999999999995,7.743333333333333,93.09666666666668,54.01666666666667,7.330000000000001
Atlantic County,82.6086956521739,274549,102847,201482.0,57081.0,7816.0,132058.0,31678.0,3638.0,74235.30882352941,70.22117647058823,21.253676470588236,8.4575,46.47542372881356,12.026779661016949,4.1283050847457625
Atoka County,0.0,14182,5391,12094.0,5351.0,247.0,11417.0,4993.0,211.0,46797.75,87.21000000000001,38.8475,4.529999999999999,83.0625,36.655,3.9924999999999997
Attala County,33.33333333333333,19564,7619,17845.0,9672.0,663.0,14644.0,7502.0,428.0,44985.333333333336,92.50166666666667,49.02333333333333,8.366666666666667,78.27666666666666,39.37833333333334,5.581666666666667
Audrain County,42.857142857142854,25529,9590,22404.0,8991.0,482.0,14061.0,5200.0,202.0,54634.28571428572,86.53857142857143,34.91285714285714,5.215714285714285,51.47714285714285,19.10571428571428,2.2485714285714287
Audubon County,0.0,6119,2617,5342.0,1684.0,85.0,3946.0,1183.0,68.0,61531.0,88.88666666666666,28.040000000000003,3.3833333333333333,68.91666666666667,20.89,2.8233333333333337
Auglaize County,45.45454545454545,45949,17972,35060.0,8258.0,678.0,21942.0,4575.0,333.0,76637.27272727272,76.14636363636363,17.61,3.469090909090909,49.83363636363636,10.268181818181818,1.9209090909090911
Augusta County,30.76923076923077,73750,28516,68815.0,18706.0,1129.0,58956.0,16090.0,917.0,71137.30769230769,93.7176923076923,25.652307692307694,3.82,81.53153846153847,22.320769230769233,3.1046153846153848
Aurora County,0.0,2710,1102,2361.0,578.0,13.0,2311.0,564.0,13.0,69135.0,87.12,21.32,1.22,85.29,20.82,1.18
Austin County,0.0,28417,10837,25204.0,7038.0,402.0,20124.0,5388.0,281.0,77968.5,90.86333333333334,26.62833333333333,4.013333333333333,76.25166666666667,21.838333333333335,3.108333333333333
Autauga County,58.333333333333336,54571,20221,49497.0,15518.0,1045.0,37424.0,12067.0,834.0,69337.5,93.00833333333333,31.992500000000003,5.547499999999999,73.33166666666666,25.405,4.609999999999999
Avery County,0.0,17797,6664,17432.0,7525.0,236.0,16517.0,7134.0,214.0,52544.6,97.74600000000001,42.306,3.62,92.12,39.989999999999995,3.2960000000000003
Avoyelles Parish,22.22222222222222,42073,15432,39562.0,19271.0,1180.0,33913.0,15715.0,881.0,51150.11111111111,94.19333333333333,43.46888888888889,7.108888888888889,82.25777777777778,35.71888888888889,5.174444444444444
Baca County,0.0,3788,1685,2515.0,1127.0,49.0,1554.0,660.0,20.0,48463.0,66.645,29.695,2.8049999999999997,42.715,18.05,1.115
Bacon County,0.0,11096,4214,10639.0,5534.0,223.0,8825.0,4189.0,122.0,45423.666666666664,95.99666666666667,49.42666666666667,4.86,80.83333333333333,38.26333333333333,2.6333333333333333
Bailey County,0.0,7165,2468,5124.0,2721.0,71.0,2307.0,1052.0,12.0,52674.0,71.52,37.97,2.88,32.2,14.68,0.49
Baker County,33.33333333333333,46700,17184,42880.0,15789.0,639.0,36474.0,13157.0,370.0,59661.25,91.50083333333333,35.29833333333333,4.3341666666666665,77.03500000000001,29.38083333333333,2.7275000000000005
Baldwin County,47.5,227985,89968,206857.0,68440.0,3301.0,163280.0,52453.0,2434.0,67899.2564102564,90.85375,31.86025,4.4585,72.65475,24.808500000000002,3.3985
Ballard County,0.0,8249,3397,7156.0,2651.0,206.0,6431.0,2290.0,163.0,54971.333333333336,90.72666666666667,32.97,6.293333333333333,81.76,28.483333333333334,4.9799999999999995
Baltimore County,92.89099526066352,805029,316715,543142.0,110771.0,12240.0,228432.0,40717.0,4094.0,97128.72248803827,69.23196172248804,13.920287081339714,4.113397129186603,43.49471830985915,7.690915492957746,2.1010563380281693
Baltimore city,100.0,620961,249903,279007.0,111556.0,28481.0,28080.0,11247.0,2867.0,67201.15544041451,56.166405228758165,22.66986928104575,14.83987012987013,21.105128205128207,8.627692307692309,5.41025
Bamberg County,25.0,15987,6048,14765.0,7179.0,518.0,13003.0,6155.0,438.0,47973.0,91.9,41.6,7.1525,81.14500000000001,35.865,5.9525
Bandera County,0.0,20485,8564,19887.0,6392.0,146.0,18964.0,6043.0,139.0,64785.6,97.30199999999999,30.624000000000002,1.69,93.25399999999999,29.071999999999996,1.6119999999999997
Banks County,0.0,18395,6700,18395.0,8159.0,344.0,18350.0,8146.0,343.0,54591.25,100.0,44.525,4.970000000000001,99.7475,44.457499999999996,4.96
Banner County,0.0,690,293,690.0,193.0,7.0,690.0,193.0,7.0,64432.0,100.0,27.95,2.51,100.0,27.95,2.51
Bannock County,81.81818181818183,82839,30682,67496.0,25437.0,1073.0,36910.0,11976.0,425.0,60147.818181818184,80.45181818181818,31.216363636363635,3.45,50.449,16.574,1.6425
Baraga County,0.0,8860,3444,7915.0,2954.0,164.0,5708.0,1899.0,97.0,53879.5,89.33,33.275,4.785,64.435,21.395,2.775
Barber County,0.0,4861,2139,3204.0,1121.0,87.0,2019.0,707.0,47.0,61791.5,61.675000000000004,22.42,3.4349999999999996,41.065,15.094999999999999,1.94
Barbour County,23.076923076923077,44046,16368,39248.0,18579.0,1249.0,32437.0,14915.0,953.0,45827.53846153846,87.73615384615384,41.99,7.733076923076923,70.62384615384616,32.92076923076923,5.708461538461539
Barnes County,50.0,11066,4826,7343.0,1585.0,190.0,4857.0,982.0,63.0,81157.75,72.6375,15.497499999999999,3.5574999999999997,53.4725,10.8575,1.3625
Barnstable County,85.71428571428571,215888,95755,185636.0,35491.0,3412.0,131569.0,23434.0,1901.0,89178.48214285714,84.57517857142857,16.935892857142857,3.693214285714286,61.9912962962963,11.703703703703704,2.142037037037037
Barnwell County,0.0,22621,8937,19843.0,9821.0,878.0,15503.0,7448.0,600.0,46280.2,87.514,43.878,9.931999999999999,67.612,32.842,6.772
Barren County,30.0,42173,16999,35235.0,15292.0,713.0,28781.0,12186.0,467.0,49975.3,85.428,37.093,4.2090000000000005,71.42999999999999,30.538,3.029
Barron County,30.0,45870,19173,38797.0,12900.0,870.0,29612.0,9036.0,469.0,62777.0,85.489,28.122000000000003,4.422,67.46799999999999,20.595000000000002,2.673
Barrow County,61.111111111111114,69367,23971,61813.0,20288.0,604.0,49656.0,15401.0,384.0,63786.555555555555,87.45222222222222,29.556666666666665,2.6688888888888886,69.2188888888889,21.715555555555554,1.6138888888888887
Barry County,11.11111111111111,94770,36608,87945.0,29973.0,1312.0,73636.0,24059.0,1024.0,63253.333333333336,94.0611111111111,32.099999999999994,3.463888888888889,81.3488888888889,26.781111111111112,2.7827777777777776
Bartholomew County,73.33333333333333,76794,29860,67504.0,19736.0,1076.0,48674.0,13744.0,616.0,75374.0,86.244,24.853333333333335,3.441333333333333,59.742,16.459333333333333,1.8686666666666667
Barton County,63.63636363636363,40076,16212,33579.0,13186.0,916.0,24162.0,9350.0,608.0,61634.09090909091,80.85272727272728,30.885454545454547,5.14,61.55499999999999,22.615000000000002,3.4549999999999996
Bartow County,40.0,100157,35782,93916.0,34261.0,1398.0,80499.0,28850.0,1108.0,62517.4,94.62666666666668,35.160666666666664,3.8713333333333333,83.08533333333334,30.391333333333332,3.176
Bastrop County,30.0,74171,25840,70792.0,22292.0,1021.0,61253.0,19511.0,882.0,73835.8,95.022,30.186,4.072,80.94399999999999,25.977999999999998,3.492
Bates County,25.0,17049,6744,15693.0,5913.0,289.0,11919.0,4112.0,158.0,59035.25,91.62,35.24,4.16,68.85,24.205,2.2600000000000002
Bath County,0.0,16322,6749,15978.0,7443.0,466.0,15611.0,7231.0,443.0,48644.0,98.345,47.1525,7.382499999999999,96.7625,46.2475,7.1575
Baxter County,33.33333333333333,41513,18748,37137.0,13802.0,532.0,29210.0,10955.0,349.0,50951.333333333336,89.14666666666666,33.32333333333333,3.032222222222222,69.46222222222222,26.265555555555554,2.0122222222222224
Bay County,73.91304347826086,276623,113041,223776.0,74885.0,6006.0,139114.0,43571.0,3212.0,61395.89855072464,81.1731884057971,28.64855072463768,6.079855072463768,49.61882352941176,16.29970588235294,3.4251470588235295
Bayfield County,0.0,15014,6686,13052.0,4185.0,156.0,11914.0,3864.0,133.0,63599.8,89.23400000000001,28.3,2.4259999999999997,82.74600000000001,26.436,2.088
Baylor County,0.0,3726,1669,2619.0,954.0,28.0,1176.0,368.0,10.0,55592.0,70.3,25.62,1.7,31.57,9.88,0.58
Beadle County,66.66666666666666,17398,7276,13745.0,3822.0,149.0,6323.0,1348.0,49.0,64965.166666666664,80.34833333333334,21.94333333333334,2.1,43.96333333333333,8.98,0.915
Bear Lake County,0.0,5986,2281,4979.0,1487.0,69.0,3583.0,919.0,36.0,63625.0,85.36,24.435000000000002,2.82,65.065,16.18,1.56
Beaufort County,60.78431372549019,209992,84886,188092.0,59549.0,3890.0,142714.0,44934.0,2648.0,75273.98,88.78372549019609,28.119803921568625,4.948235294117647,67.54862745098039,21.306470588235296,3.5462745098039217
Beauregard Parish,57.14285714285714,35654,13159,32557.0,11687.0,730.0,26977.0,9478.0,517.0,61871.71428571428,89.92285714285715,33.504285714285714,5.645714285714286,70.89714285714285,25.91,3.8614285714285717
Beaver County,64.28571428571429,182804,75840,151763.0,42269.0,4911.0,108529.0,28580.0,3056.0,69077.81818181818,81.56732142857143,24.927321428571428,7.110714285714286,62.44903846153846,18.052307692307693,4.7621153846153845
Beaverhead County,33.33333333333333,9246,4014,7581.0,2626.0,106.0,4848.0,1594.0,20.0,69869.33333333333,87.36333333333333,30.53,1.9333333333333333,66.42999999999999,22.643333333333334,0.4166666666666667
Becker County,20.0,32504,13224,30342.0,9063.0,601.0,26365.0,7387.0,358.0,70988.8,94.329,26.904000000000003,4.193,83.763,22.654,2.776
Beckham County,50.0,22119,8163,17711.0,6064.0,497.0,8323.0,2594.0,271.0,62834.5,76.285,26.99,5.63,37.4975,12.067499999999999,3.38
Bedford County,24.324324324324326,169718,66855,153869.0,47002.0,2273.0,132691.0,39273.0,1659.0,64930.48648648649,91.86405405405405,27.843513513513514,3.215135135135135,80.77135135135136,23.96081081081081,2.4343243243243244
Bee County,57.14285714285714,31861,9042,29719.0,10944.0,616.0,21260.0,5931.0,263.0,51307.857142857145,92.45142857142856,37.39714285714285,5.704285714285715,67.69,22.935714285714287,2.9457142857142857
Belknap County,26.666666666666668,60088,24766,53132.0,10502.0,850.0,43988.0,7783.0,567.0,81469.73333333334,87.78466666666667,17.448666666666668,3.506666666666667,72.25066666666666,12.674666666666667,2.386
Bell County,73.61111111111111,338926,125822,281645.0,106542.0,6351.0,168630.0,60124.0,3247.0,56289.68571428571,80.55888888888889,32.86861111111111,5.153333333333333,54.174,20.86476923076923,2.9493846153846155
Belmont County,60.0,70400,28679,61393.0,19058.0,1697.0,43568.0,11981.0,859.0,60757.55,87.2335,30.8915,7.235000000000001,56.2435,16.637,2.9095
Beltrami County,30.0,44442,16846,38326.0,14947.0,872.0,31393.0,11638.0,656.0,59182.3,87.306,33.712,5.2090000000000005,73.374,27.069,4.064
Ben Hill County,40.0,17634,6794,15615.0,8279.0,987.0,11170.0,5317.0,572.0,45480.2,91.86800000000001,45.696000000000005,13.59,72.224,32.63,8.91
Benewah County,0.0,9285,3837,7418.0,2965.0,135.0,5783.0,2286.0,96.0,54056.5,79.99,32.075,3.5700000000000003,62.43000000000001,24.775,2.565
Bennett County,0.0,3431,1090,2471.0,1439.0,23.0,2215.0,1309.0,21.0,53130.0,70.33500000000001,40.879999999999995,2.17,62.435,36.9,1.98
Bennington County,16.666666666666664,37125,15470,31600.0,9083.0,939.0,25726.0,7071.0,548.0,70321.75,88.68833333333333,24.575,5.314166666666666,76.42166666666667,20.433333333333334,3.5749999999999997
Benson County,0.0,6660,2233,6649.0,3729.0,181.0,6634.0,3718.0,181.0,54502.5,99.8625,48.445,7.574999999999999,99.6675,48.31,7.5525
Bent County,0.0,6499,1832,5572.0,2683.0,126.0,3679.0,1648.0,45.0,42883.0,85.73,41.29,6.86,56.6,25.35,2.48
Benton County,58.08823529411765,599750,229484,467445.0,135361.0,6843.0,301086.0,83197.0,3457.0,74987.5895522388,81.33985074626867,23.426492537313433,3.0279104477611942,59.81984,16.43984,1.8092000000000001
Benzie County,0.0,17525,7298,16370.0,4570.0,236.0,14688.0,4051.0,199.0,67596.2,89.936,25.986,3.434,75.05199999999999,21.412,2.656
Bergen County,99.4413407821229,905116,335730,434703.0,56807.0,9153.0,96782.0,8693.0,1301.0,122120.79888268157,52.03030674846626,6.876503067484662,2.98079754601227,25.698333333333334,2.417820512820513,0.9864102564102564
Berkeley County,63.793103448275865,282012,105274,240350.0,71813.0,3777.0,169156.0,49167.0,2556.0,67585.1724137931,84.2951724137931,26.353620689655173,3.682758620689655,60.78648148148148,18.536851851851853,2.6627777777777775
Berks County,75.55555555555556,411442,154356,273994.0,59331.0,4770.0,171068.0,33537.0,2301.0,68702.7,69.2473417721519,16.309367088607594,3.662405063291139,51.30516129032258,10.39274193548387,1.9620967741935484
Berkshire County,56.41025641025641,131219,56091,103628.0,23681.0,2764.0,69964.0,13748.0,1391.0,76836.56410256411,81.46179487179487,18.379487179487178,4.355128205128205,66.542,13.226285714285714,2.6228571428571428
Bernalillo County,94.77124183006535,662564,266000,427658.0,151430.0,9112.0,157904.0,47265.0,1792.0,68704.22516556291,64.45092105263159,22.452697368421052,3.698157894736842,37.94085106382979,11.743617021276597,1.445744680851064
Berrien County,53.70370370370371,176099,70497,147961.0,55443.0,4370.0,104344.0,37619.0,2956.0,59093.57407407407,84.5087037037037,33.185,6.870925925925925,61.559056603773584,23.455471698113204,4.77811320754717
