,State,County,"Grocery stores, 2016","Convenience stores, 2016","Fast-food restaurants, 2016","Farmers' markets, 2018"
131,AR,Johnson,1.0,12.0,12.0,2.0
132,AR,Lafayette,1.0,5.0,3.0,0.0
133,AR,Lawrence,3.0,16.0,6.0,2.0
134,AR,Lee,1.0,1.0,3.0,1.0
135,AR,Lincoln,1.0,8.0,5.0,0.0
136,AR,Little River,2.0,5.0,6.0,1.0
137,AR,Logan,2.0,19.0,11.0,3.0
138,AR,Lonoke,6.0,31.0,35.0,0.0
139,AR,Madison,2.0,9.0,3.0,1.0
140,AR,Marion,3.0,5.0,7.0,1.0
141,AR,Miller,7.0,26.0,22.0,2.0
142,AR,Mississippi,10.0,22.0,29.0,2.0
143,AR,Monroe,3.0,10.0,6.0,0.0
144,AR,Montgomery,1.0,5.0,5.0,1.0
145,AR,Nevada,1.0,5.0,3.0,1.0
146,AR,Newton,2.0,5.0,2.0,2.0
147,AR,Ouachita,5.0,14.0,17.0,1.0
148,AR,Perry,2.0,5.0,2.0,1.0
149,AR,Phillips,6.0,16.0,10.0,2.0
150,AR,Pike,4.0,7.0,5.0,1.0
151,AR,Poinsett,5.0,18.0,15.0,1.0
152,AR,Polk,3.0,15.0,7.0,1.0
153,AR,Pope,8.0,26.0,53.0,2.0
154,AR,Prairie,3.0,7.0,3.0,0.0
155,AR,Pulaski,57.0,226.0,365.0,11.0
156,AR,Randolph,3.0,11.0,10.0,1.0
157,AR,Saline,12.0,37.0,70.0,1.0
158,AR,Scott,3.0,4.0,5.0,2.0
159,AR,Searcy,2.0,4.0,4.0,1.0
160,AR,Sebastian,18.0,64.0,103.0,2.0
161,AR,Sevier,5.0,14.0,7.0,0.0
162,AR,Sharp,3.0,6.0,9.0,2.0
163,AR,St. Francis,6.0,20.0,13.0,1.0
164,AR,Stone,2.0,5.0,10.0,2.0
165,AR,Union,6.0,32.0,28.0,1.0
166,AR,Van Buren,2.0,12.0,6.0,1.0
167,AR,Washington,39.0,71.0,172.0,5.0
168,AR,White,11.0,42.0,57.0,2.0
169,AR,Woodruff,3.0,9.0,5.0,0.0
170,AR,Yell,3.0,13.0,9.0,0.0
171,AZ,Apache,9.0,41.0,12.0,1.0
172,AZ,Cochise,16.0,59.0,58.0,3.0
173,AZ,Coconino,20.0,80.0,128.0,3.0
174,AZ,Gila,6.0,31.0,32.0,2.0
175,AZ,Graham,6.0,18.0,15.0,1.0
176,AZ,Greenlee,2.0,6.0,3.0,0.0
177,AZ,La Paz,6.0,21.0,16.0,0.0
178,AZ,Maricopa,467.0,970.0,3055.0,39.0
179,AZ,Mohave,17.0,91.0,122.0,1.0
180,AZ,Navajo,14.0,57.0,62.0,3.0
181,AZ,Pima,122.0,283.0,666.0,24.0
182,AZ,Pinal,31.0,83.0,132.0,1.0
183,AZ,Santa Cruz,10.0,16.0,24.0,5.0
184,AZ,Yavapai,29.0,81.0,139.0,8.0
185,AZ,Yuma,31.0,66.0,121.0,0.0
186,CA,Alameda,372.0,330.0,1293.0,34.0
187,CA,Alpine,0.0,0.0,0.0,0.0
188,CA,Amador,13.0,12.0,21.0,4.0
189,CA,Butte,45.0,74.0,158.0,8.0
190,CA,Calaveras,11.0,23.0,30.0,3.0
191,CA,Colusa,10.0,11.0,8.0,2.0
192,CA,Contra Costa,200.0,223.0,701.0,25.0
193,CA,Del Norte,6.0,4.0,10.0,1.0
194,CA,El Dorado,32.0,58.0,110.0,10.0
195,CA,Fresno,257.0,305.0,634.0,15.0
196,CA,Glenn,8.0,16.0,15.0,3.0
197,CA,Humboldt,48.0,38.0,97.0,14.0
198,CA,Imperial,35.0,63.0,103.0,2.0
199,CA,Inyo,5.0,16.0,15.0,2.0
200,CA,Kern,187.0,284.0,603.0,16.0
201,CA,Kings,28.0,43.0,89.0,2.0
202,CA,Lake,24.0,31.0,33.0,7.0
203,CA,Lassen,7.0,14.0,15.0,1.0
204,CA,Los Angeles,1980.0,1964.0,8264.0,124.0
205,CA,Madera,38.0,56.0,78.0,8.0
206,CA,Marin,70.0,42.0,189.0,15.0
207,CA,Mariposa,5.0,6.0,8.0,1.0
208,CA,Mendocino,46.0,40.0,54.0,8.0
209,CA,Merced,68.0,77.0,143.0,5.0
210,CA,Modoc,4.0,2.0,3.0,1.0
211,CA,Mono,6.0,11.0,21.0,2.0
212,CA,Monterey,112.0,123.0,264.0,12.0
213,CA,Napa,40.0,44.0,82.0,6.0
214,CA,Nevada,25.0,36.0,65.0,9.0
215,CA,Orange,496.0,657.0,3025.0,23.0
216,CA,Placer,64.0,132.0,334.0,19.0
217,CA,Plumas,9.0,16.0,9.0,1.0
218,CA,Riverside,349.0,456.0,1541.0,22.0
219,CA,Sacramento,275.0,384.0,1075.0,27.0
220,CA,San Benito,9.0,12.0,28.0,1.0
221,CA,San Bernardino,309.0,481.0,1526.0,22.0
222,CA,San Diego,579.0,758.0,2736.0,46.0
223,CA,San Francisco,358.0,112.0,958.0,28.0
224,CA,San Joaquin,160.0,153.0,466.0,15.0
225,CA,San Luis Obispo,69.0,92.0,234.0,21.0
226,CA,San Mateo,182.0,148.0,593.0,23.0
227,CA,Santa Barbara,120.0,99.0,344.0,13.0
228,CA,Santa Clara,348.0,364.0,1544.0,39.0
229,CA,Santa Cruz,71.0,65.0,175.0,10.0
230,CA,Shasta,35.0,92.0,122.0,14.0
231,CA,Sierra,1.0,1.0,1.0,0.0
232,CA,Siskiyou,19.0,26.0,28.0,7.0
233,CA,Solano,72.0,113.0,290.0,5.0
234,CA,Sonoma,140.0,144.0,291.0,25.0
235,CA,Stanislaus,131.0,162.0,366.0,12.0
236,CA,Sutter,21.0,40.0,59.0,2.0
237,CA,Tehama,10.0,30.0,33.0,4.0
238,CA,Trinity,9.0,8.0,6.0,2.0
239,CA,Tulare,119.0,157.0,264.0,11.0
240,CA,Tuolumne,16.0,25.0,26.0,4.0
241,CA,Ventura,167.0,197.0,634.0,10.0
242,CA,Yolo,44.0,56.0,152.0,6.0
243,CA,Yuba,10.0,23.0,29.0,3.0
244,CO,Adams,63.0,125.0,336.0,6.0
245,CO,Alamosa,4.0,7.0,16.0,1.0
246,CO,Arapahoe,95.0,158.0,506.0,5.0
247,CO,Archuleta,3.0,6.0,9.0,2.0
248,CO,Baca,1.0,3.0,0.0,0.0
249,CO,Bent,2.0,3.0,1.0,2.0
250,CO,Boulder,61.0,75.0,274.0,6.0
251,CO,Broomfield,6.0,16.0,74.0,1.0
252,CO,Chaffee,7.0,17.0,21.0,3.0
253,CO,Cheyenne,2.0,1.0,0.0,0.0
254,CO,Clear Creek,1.0,12.0,12.0,2.0
255,CO,Conejos,3.0,2.0,2.0,0.0
256,CO,Costilla,2.0,4.0,0.0,1.0
257,CO,Crowley,1.0,1.0,0.0,0.0
258,CO,Custer,2.0,2.0,2.0,2.0
259,CO,Delta,7.0,12.0,16.0,1.0
260,CO,Denver,117.0,205.0,632.0,14.0
261,CO,Dolores,1.0,1.0,0.0,0.0
262,CO,Douglas,25.0,60.0,218.0,5.0
263,CO,Eagle,17.0,18.0,48.0,5.0
264,CO,El Paso,61.0,181.0,443.0,18.0
265,CO,Elbert,1.0,5.0,5.0,1.0
266,CO,Fremont,5.0,12.0,17.0,3.0
267,CO,Garfield,10.0,28.0,51.0,5.0
268,CO,Gilpin,0.0,2.0,0.0,0.0
269,CO,Grand,5.0,9.0,20.0,3.0
270,CO,Gunnison,5.0,5.0,13.0,2.0
271,CO,Hinsdale,2.0,2.0,0.0,0.0
272,CO,Huerfano,4.0,5.0,4.0,3.0
273,CO,Jackson,2.0,3.0,0.0,0.0
274,CO,Jefferson,61.0,156.0,435.0,12.0
275,CO,Kiowa,2.0,1.0,1.0,0.0
276,CO,Kit Carson,3.0,4.0,6.0,0.0
277,CO,La Plata,10.0,23.0,48.0,2.0
278,CO,Lake,2.0,8.0,5.0,0.0
279,CO,Larimer,36.0,86.0,271.0,13.0
280,CO,Las Animas,4.0,7.0,11.0,1.0
281,CO,Lincoln,2.0,6.0,3.0,0.0
282,CO,Logan,2.0,9.0,11.0,0.0
283,CO,Mesa,21.0,48.0,91.0,4.0
284,CO,Mineral,1.0,1.0,0.0,1.0
285,CO,Moffat,2.0,8.0,5.0,1.0
286,CO,Montezuma,5.0,15.0,13.0,4.0
287,CO,Montrose,8.0,9.0,22.0,1.0
288,CO,Morgan,7.0,13.0,12.0,1.0
289,CO,Otero,3.0,7.0,13.0,0.0
290,CO,Ouray,3.0,2.0,4.0,2.0
291,CO,Park,4.0,7.0,5.0,1.0
292,CO,Phillips,4.0,3.0,2.0,0.0
293,CO,Pitkin,7.0,7.0,22.0,1.0
294,CO,Prowers,2.0,10.0,11.0,0.0
295,CO,Pueblo,17.0,66.0,106.0,4.0
296,CO,Rio Blanco,1.0,5.0,5.0,1.0
297,CO,Rio Grande,3.0,7.0,5.0,2.0
298,CO,Routt,9.0,12.0,26.0,3.0
299,CO,Saguache,5.0,4.0,0.0,0.0
300,CO,San Juan,1.0,1.0,4.0,0.0
301,CO,San Miguel,6.0,3.0,13.0,3.0
302,CO,Sedgwick,1.0,0.0,1.0,0.0
303,CO,Summit,10.0,13.0,47.0,1.0
304,CO,Teller,4.0,11.0,16.0,2.0
305,CO,Washington,1.0,3.0,2.0,0.0
306,CO,Weld,32.0,77.0,160.0,10.0
307,CO,Yuma,4.0,4.0,2.0,0.0
308,CT,Fairfield,208.0,253.0,724.0,30.0
309,CT,Hartford,258.0,315.0,598.0,35.0
310,CT,Litchfield,44.0,77.0,103.0,16.0
311,CT,Middlesex,31.0,62.0,105.0,12.0
312,CT,New Haven,207.0,318.0,675.0,28.0
313,CT,New London,39.0,114.0,202.0,19.0
314,CT,Tolland,16.0,55.0,64.0,10.0
315,CT,Windham,24.0,42.0,64.0,7.0
316,DC,District of Columbia,186.0,201.0,877.0,58.0
317,DE,Kent,28.0,55.0,92.0,4.0
318,DE,New Castle,97.0,173.0,411.0,16.0
319,DE,Sussex,47.0,87.0,162.0,17.0
320,FL,Alachua,43.0,122.0,197.0,8.0
321,FL,Baker,6.0,18.0,15.0,0.0
322,FL,Bay,29.0,120.0,152.0,5.0
323,FL,Bradford,3.0,22.0,14.0,2.0
324,FL,Brevard,80.0,299.0,375.0,6.0
325,FL,Broward,371.0,777.0,1357.0,11.0
326,FL,Calhoun,2.0,4.0,7.0,0.0
327,FL,Charlotte,21.0,59.0,77.0,3.0
328,FL,Citrus,18.0,68.0,58.0,1.0
329,FL,Clay,21.0,76.0,114.0,1.0
330,FL,Collier,61.0,101.0,192.0,9.0
331,FL,Columbia,7.0,57.0,42.0,1.0
332,FL,DeSoto,5.0,15.0,11.0,0.0
333,FL,Dixie,3.0,8.0,7.0,0.0
334,FL,Duval,174.0,462.0,781.0,10.0
335,FL,Escambia,46.0,174.0,188.0,5.0
336,FL,Flagler,13.0,34.0,49.0,2.0
337,FL,Franklin,5.0,8.0,4.0,0.0
338,FL,Gadsden,7.0,37.0,21.0,1.0
339,FL,Gilchrist,3.0,7.0,7.0,0.0
340,FL,Glades,1.0,5.0,3.0,0.0
341,FL,Gulf,4.0,8.0,8.0,2.0
342,FL,Hamilton,2.0,17.0,7.0,0.0
343,FL,Hardee,9.0,17.0,8.0,0.0
344,FL,Hendry,10.0,27.0,21.0,0.0
345,FL,Hernando,22.0,61.0,86.0,4.0
346,FL,Highlands,11.0,53.0,44.0,1.0
347,FL,Hillsborough,280.0,602.0,856.0,10.0
348,FL,Holmes,4.0,15.0,4.0,0.0
349,FL,Indian River,27.0,70.0,93.0,3.0
350,FL,Jackson,7.0,27.0,28.0,1.0
351,FL,Jefferson,3.0,18.0,6.0,1.0
352,FL,Lafayette,1.0,5.0,2.0,1.0
353,FL,Lake,37.0,146.0,152.0,5.0
354,FL,Lee,108.0,248.0,400.0,15.0
355,FL,Leon,37.0,125.0,254.0,11.0
356,FL,Levy,10.0,29.0,17.0,1.0
357,FL,Liberty,3.0,5.0,0.0,0.0
358,FL,Madison,4.0,16.0,11.0,1.0
359,FL,Manatee,54.0,141.0,182.0,3.0
360,FL,Marion,56.0,174.0,170.0,4.0
361,FL,Martin,34.0,72.0,107.0,1.0
362,FL,Miami-Dade,644.0,894.0,1690.0,35.0
363,FL,Monroe,27.0,59.0,67.0,1.0
364,FL,Nassau,10.0,41.0,60.0,2.0
365,FL,Okaloosa,24.0,104.0,172.0,4.0
366,FL,Okeechobee,9.0,31.0,14.0,1.0
367,FL,Orange,220.0,525.0,1030.0,10.0
368,FL,Osceola,55.0,115.0,192.0,4.0
369,FL,Palm Beach,264.0,505.0,937.0,12.0
370,FL,Pasco,63.0,193.0,204.0,4.0
371,FL,Pinellas,199.0,444.0,655.0,13.0
372,FL,Polk,87.0,317.0,308.0,5.0
373,FL,Putnam,12.0,47.0,29.0,2.0
374,FL,Santa Rosa,14.0,55.0,88.0,2.0
375,FL,Sarasota,89.0,136.0,185.0,6.0
376,FL,Seminole,64.0,171.0,320.0,3.0
377,FL,St. Johns,27.0,73.0,149.0,4.0
378,FL,St. Lucie,44.0,115.0,138.0,1.0
379,FL,Sumter,12.0,38.0,25.0,4.0
380,FL,Suwannee,7.0,30.0,25.0,3.0
381,FL,Taylor,3.0,23.0,12.0,1.0
382,FL,Union,1.0,7.0,3.0,1.0
383,FL,Volusia,68.0,285.0,292.0,4.0
384,FL,Wakulla,3.0,14.0,11.0,0.0
385,FL,Walton,9.0,36.0,46.0,7.0
386,FL,Washington,1.0,11.0,14.0,1.0
387,GA,Appling,2.0,14.0,15.0,0.0
388,GA,Atkinson,2.0,7.0,5.0,0.0
389,GA,Bacon,2.0,12.0,7.0,0.0
390,GA,Baker,1.0,0.0,0.0,0.0
391,GA,Baldwin,7.0,37.0,41.0,4.0
392,GA,Banks,1.0,11.0,11.0,0.0
393,GA,Barrow,14.0,50.0,37.0,2.0
394,GA,Bartow,16.0,73.0,63.0,1.0
395,GA,Ben Hill,2.0,19.0,9.0,1.0
396,GA,Berrien,6.0,13.0,9.0,1.0
397,GA,Bibb,39.0,171.0,185.0,3.0
398,GA,Bleckley,2.0,11.0,5.0,1.0
399,GA,Brantley,2.0,13.0,7.0,0.0
400,GA,Brooks,3.0,11.0,9.0,0.0
401,GA,Bryan,7.0,26.0,30.0,0.0
402,GA,Bulloch,10.0,52.0,58.0,1.0
403,GA,Burke,4.0,18.0,10.0,0.0
404,GA,Butts,2.0,25.0,13.0,0.0
405,GA,Calhoun,1.0,5.0,2.0,0.0
406,GA,Camden,5.0,37.0,38.0,1.0
407,GA,Candler,4.0,16.0,10.0,0.0
408,GA,Carroll,26.0,94.0,85.0,2.0
409,GA,Catoosa,7.0,27.0,51.0,0.0
410,GA,Charlton,2.0,10.0,7.0,0.0
411,GA,Chatham,52.0,185.0,315.0,4.0
412,GA,Chattahoochee,1.0,2.0,2.0,0.0
413,GA,Chattooga,6.0,29.0,12.0,0.0
414,GA,Cherokee,34.0,71.0,156.0,4.0
415,GA,Clarke,23.0,67.0,114.0,5.0
416,GA,Clay,2.0,2.0,1.0,1.0
417,GA,Clayton,51.0,158.0,194.0,2.0
418,GA,Clinch,2.0,8.0,4.0,0.0
419,GA,Cobb,108.0,236.0,640.0,6.0
420,GA,Coffee,8.0,42.0,28.0,0.0
421,GA,Colquitt,14.0,41.0,29.0,0.0
422,GA,Columbia,22.0,38.0,89.0,1.0
423,GA,Cook,4.0,18.0,14.0,0.0
424,GA,Coweta,21.0,58.0,76.0,1.0
425,GA,Crawford,0.0,6.0,3.0,0.0
426,GA,Crisp,14.0,25.0,19.0,1.0
427,GA,Dade,3.0,23.0,9.0,1.0
428,GA,Dawson,4.0,12.0,17.0,2.0
429,GA,DeKalb,152.0,369.0,596.0,13.0
430,GA,Decatur,6.0,28.0,22.0,1.0
431,GA,Dodge,5.0,20.0,12.0,1.0
432,GA,Dooly,0.0,17.0,6.0,0.0
433,GA,Dougherty,16.0,88.0,92.0,1.0
434,GA,Douglas,15.0,71.0,95.0,1.0
435,GA,Early,4.0,17.0,7.0,0.0
436,GA,Echols,0.0,3.0,0.0,0.0
437,GA,Effingham,4.0,28.0,27.0,0.0
438,GA,Elbert,5.0,16.0,12.0,0.0
439,GA,Emanuel,3.0,18.0,16.0,0.0
440,GA,Evans,3.0,14.0,6.0,0.0
441,GA,Fannin,7.0,16.0,21.0,0.0
442,GA,Fayette,18.0,42.0,102.0,2.0
443,GA,Floyd,17.0,81.0,71.0,1.0
444,GA,Forsyth,36.0,69.0,144.0,2.0
445,GA,Franklin,4.0,16.0,19.0,1.0
446,GA,Fulton,196.0,415.0,1124.0,16.0
447,GA,Gilmer,8.0,14.0,23.0,1.0
448,GA,Glascock,0.0,2.0,0.0,0.0
449,GA,Glynn,19.0,65.0,89.0,0.0
450,GA,Gordon,11.0,41.0,39.0,1.0
451,GA,Grady,5.0,15.0,18.0,1.0
452,GA,Greene,6.0,19.0,6.0,0.0
453,GA,Gwinnett,145.0,377.0,742.0,8.0
454,GA,Habersham,7.0,36.0,31.0,2.0
455,GA,Hall,35.0,107.0,118.0,4.0
456,GA,Hancock,2.0,8.0,5.0,0.0
457,GA,Haralson,4.0,25.0,22.0,1.0
458,GA,Harris,4.0,20.0,7.0,2.0
459,GA,Hart,4.0,17.0,13.0,1.0
460,GA,Heard,1.0,11.0,5.0,0.0
461,GA,Henry,27.0,118.0,162.0,0.0
462,GA,Houston,15.0,119.0,135.0,3.0
463,GA,Irwin,1.0,8.0,3.0,0.0
464,GA,Jackson,11.0,39.0,35.0,2.0
465,GA,Jasper,2.0,6.0,3.0,0.0
466,GA,Jeff Davis,4.0,15.0,8.0,0.0
467,GA,Jefferson,5.0,19.0,11.0,0.0
468,GA,Jenkins,1.0,5.0,7.0,1.0
469,GA,Johnson,1.0,6.0,5.0,0.0
470,GA,Jones,3.0,14.0,5.0,0.0
471,GA,Lamar,4.0,12.0,10.0,1.0
472,GA,Lanier,2.0,4.0,5.0,0.0
473,GA,Laurens,7.0,50.0,45.0,1.0
474,GA,Lee,4.0,21.0,11.0,0.0
475,GA,Liberty,7.0,47.0,50.0,0.0
476,GA,Lincoln,1.0,7.0,3.0,0.0
477,GA,Long,1.0,6.0,3.0,0.0
478,GA,Lowndes,14.0,95.0,106.0,3.0
479,GA,Lumpkin,3.0,14.0,20.0,1.0
480,GA,Macon,4.0,11.0,8.0,1.0
481,GA,Madison,4.0,22.0,10.0,0.0
482,GA,Marion,3.0,5.0,4.0,0.0
483,GA,McDuffie,2.0,20.0,19.0,0.0
484,GA,McIntosh,2.0,14.0,10.0,0.0
485,GA,Meriwether,9.0,18.0,10.0,0.0
486,GA,Miller,2.0,3.0,1.0,0.0
487,GA,Mitchell,7.0,22.0,14.0,0.0
488,GA,Monroe,3.0,24.0,17.0,1.0
489,GA,Montgomery,1.0,10.0,4.0,0.0
490,GA,Morgan,1.0,18.0,21.0,0.0
491,GA,Murray,5.0,24.0,25.0,0.0
492,GA,Muscogee,41.0,126.0,207.0,2.0
493,GA,Newton,15.0,56.0,62.0,0.0
494,GA,Oconee,4.0,14.0,36.0,2.0
495,GA,Oglethorpe,1.0,6.0,3.0,1.0
496,GA,Paulding,12.0,51.0,64.0,2.0
497,GA,Peach,5.0,31.0,23.0,1.0
498,GA,Pickens,5.0,17.0,19.0,1.0
499,GA,Pierce,3.0,18.0,16.0,0.0
500,GA,Pike,1.0,12.0,5.0,2.0
501,GA,Polk,10.0,38.0,27.0,1.0
502,GA,Pulaski,2.0,9.0,10.0,2.0
503,GA,Putnam,3.0,21.0,7.0,1.0
504,GA,Quitman,1.0,8.0,1.0,0.0
505,GA,Rabun,4.0,13.0,20.0,3.0
506,GA,Randolph,1.0,9.0,5.0,0.0
507,GA,Richmond,36.0,133.0,172.0,3.0
508,GA,Rockdale,17.0,59.0,78.0,0.0
509,GA,Schley,1.0,4.0,2.0,0.0
510,GA,Screven,3.0,10.0,7.0,0.0
511,GA,Seminole,4.0,11.0,4.0,0.0
512,GA,Spalding,12.0,46.0,52.0,1.0
513,GA,Stephens,6.0,24.0,15.0,0.0
514,GA,Stewart,1.0,7.0,0.0,0.0
515,GA,Sumter,6.0,32.0,22.0,1.0
516,GA,Talbot,1.0,5.0,1.0,0.0
517,GA,Taliaferro,0.0,3.0,0.0,0.0
518,GA,Tattnall,4.0,20.0,7.0,0.0
519,GA,Taylor,1.0,7.0,5.0,0.0
520,GA,Telfair,4.0,10.0,7.0,1.0
521,GA,Terrell,6.0,9.0,5.0,0.0
522,GA,Thomas,7.0,45.0,39.0,1.0
523,GA,Tift,8.0,50.0,43.0,3.0
524,GA,Toombs,3.0,31.0,28.0,0.0
525,GA,Towns,3.0,12.0,8.0,1.0
526,GA,Treutlen,2.0,10.0,2.0,0.0
527,GA,Troup,13.0,70.0,56.0,0.0
