,Year,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Gender,Grade,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
1470,2015,AR,Arkansas,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.9,12.5,24.9,771.0,,,,,11th,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q038,VALUE,5,Grade,11th,GRADE,GRADE11
1873,2015,FL,Florida,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.9,13.6,18.4,1046.0,,,,,,,Non-Hispanic Black,"(28.932040377, -81.928960539)",OWS,OWS1,Q038,VALUE,12,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2411,2015,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.1,14.4,15.9,8974.0,Total,,,,,,,"(38.890371385, -77.031961127)",OWS,OWS1,Q038,VALUE,11,Total,Total,OVR,OVERALL
2573,2015,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.7,11.1,12.4,12932.0,,,,,10th,,,"(39.290580964, -76.609260111)",OWS,OWS1,Q038,VALUE,24,Grade,10th,GRADE,GRADE10
2635,2015,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.6,8.1,13.9,1140.0,,,,,10th,,,"(44.661319543001, -84.71439027)",OWS,OWS1,Q038,VALUE,26,Grade,10th,GRADE,GRADE10
3047,2015,ID,Idaho,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.7,11.7,18.4,363.0,,,,,,,Hispanic,"(43.682630005, -114.363730042)",OWS,OWS1,Q038,VALUE,16,Race/Ethnicity,Hispanic,RACE,RACEHIS
3081,2015,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.9,14.3,19.9,678.0,,,,Male,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q038,VALUE,2,Gender,Male,GEN,MALE
3439,2015,ID,Idaho,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.2,7.9,15.7,486.0,,,,,9th,,,"(43.682630005, -114.363730042)",OWS,OWS1,Q038,VALUE,16,Grade,9th,GRADE,GRADE09
3475,2015,SC,South Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.6,11.4,16.2,619.0,,,,,,,Non-Hispanic White,"(33.998821303, -81.045371207)",OWS,OWS1,Q038,VALUE,45,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
3740,2015,ID,Idaho,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.1,9.1,13.5,1688.0,Total,,,,,,,"(43.682630005, -114.363730042)",OWS,OWS1,Q038,VALUE,16,Total,Total,OVR,OVERALL
3856,2015,FL,Florida,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.4,10.0,20.5,217.0,,,,,,,2 or more races,"(28.932040377, -81.928960539)",OWS,OWS1,Q038,VALUE,12,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
3881,2015,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.9,14.7,17.0,4249.0,,,,Male,,,,"(38.890371385, -77.031961127)",OWS,OWS1,Q038,VALUE,11,Gender,Male,GEN,MALE
3975,2015,NM,New Mexico,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.6,14.8,16.5,7873.0,Total,,,,,,,"(34.520880952, -106.240580985)",OWS,OWS1,Q038,VALUE,35,Total,Total,OVR,OVERALL
4001,2015,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.2,7.7,16.1,663.0,,,,,10th,,,"(41.56266102, -72.649840952)",OWS,OWS1,Q038,VALUE,9,Grade,10th,GRADE,GRADE10
4170,2015,ID,Idaho,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.1,7.8,15.4,363.0,,,,,11th,,,"(43.682630005, -114.363730042)",OWS,OWS1,Q038,VALUE,16,Grade,11th,GRADE,GRADE11
4331,2015,AL,Alabama,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.8,10.8,17.6,677.0,,,,,,,Non-Hispanic White,"(32.840571122, -86.631860762)",OWS,OWS1,Q038,VALUE,1,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
4377,2015,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.4,11.0,18.5,957.0,,,,,,,Hispanic,"(21.304850435, -157.857749403)",OWS,OWS1,Q038,VALUE,15,Race/Ethnicity,Hispanic,RACE,RACEHIS
4393,2015,VT,Vermont,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.2,13.6,19.2,704.0,,,,,,,Hispanic,"(43.625381239, -72.517640791)",OWS,OWS1,Q038,VALUE,50,Race/Ethnicity,Hispanic,RACE,RACEHIS
4428,2015,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.8,14.8,19.0,7213.0,,,,Male,,,,,OWS,OWS1,Q038,VALUE,59,Gender,Male,GEN,MALE
4518,2015,AL,Alabama,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.6,16.0,21.6,763.0,,,,Male,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q038,VALUE,1,Gender,Male,GEN,MALE
4613,2015,VA,Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.9,11.4,19.3,543.0,,,,,,,Hispanic,"(37.542680674, -78.457890463)",OWS,OWS1,Q038,VALUE,51,Race/Ethnicity,Hispanic,RACE,RACEHIS
4675,2015,DE,Delaware,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.1,12.2,18.5,546.0,,,,,10th,,,"(39.008830667, -75.577741168)",OWS,OWS1,Q038,VALUE,10,Grade,10th,GRADE,GRADE10
4909,2015,ID,Idaho,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.6,9.6,16.4,502.0,,,,,10th,,,"(43.682630005, -114.363730042)",OWS,OWS1,Q038,VALUE,16,Grade,10th,GRADE,GRADE10
4937,2015,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.8,6.8,14.1,875.0,,,,,,,2 or more races,"(21.304850435, -157.857749403)",OWS,OWS1,Q038,VALUE,15,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
5114,2015,WV,West Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.7,14.5,26.2,274.0,,,,,12th,,,"(38.665510202, -80.712640135)",OWS,OWS1,Q038,VALUE,54,Grade,12th,GRADE,GRADE12
5259,2015,TN,Tennessee,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.8,15.2,23.0,965.0,,,,,9th,,,"(35.68094058, -85.774490914)",OWS,OWS1,Q038,VALUE,47,Grade,9th,GRADE,GRADE09
5493,2015,WV,West Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.8,13.1,26.2,382.0,,,,,10th,,,"(38.665510202, -80.712640135)",OWS,OWS1,Q038,VALUE,54,Grade,10th,GRADE,GRADE10
5696,2015,TN,Tennessee,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.2,12.0,16.7,2021.0,,,,Female,,,,"(35.68094058, -85.774490914)",OWS,OWS1,Q038,VALUE,47,Gender,Female,GEN,FEMALE
5700,2015,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.9,14.3,17.6,1979.0,,,,,12th,,,"(38.890371385, -77.031961127)",OWS,OWS1,Q038,VALUE,11,Grade,12th,GRADE,GRADE12
5748,2015,VA,Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.8,9.9,16.4,1058.0,,,,,9th,,,"(37.542680674, -78.457890463)",OWS,OWS1,Q038,VALUE,51,Grade,9th,GRADE,GRADE09
6124,2015,WY,Wyoming,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.0,11.3,19.6,342.0,,,,,,,Hispanic,"(43.235541343, -108.109830353)",OWS,OWS1,Q038,VALUE,56,Race/Ethnicity,Hispanic,RACE,RACEHIS
6256,2015,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.7,11.9,15.7,2027.0,,,,,12th,,,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Grade,12th,GRADE,GRADE12
6261,2015,NY,New York,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.5,10.0,15.5,2224.0,,,,,9th,,,"(42.827001032, -75.543970427)",OWS,OWS1,Q038,VALUE,36,Grade,9th,GRADE,GRADE09
6264,2015,MA,Massachusetts,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.0,11.4,19.4,622.0,,,,,,,Hispanic,"(42.27687047, -72.082690675)",OWS,OWS1,Q038,VALUE,25,Race/Ethnicity,Hispanic,RACE,RACEHIS
6434,2015,SC,South Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.9,15.7,24.9,236.0,,,,,11th,,,"(33.998821303, -81.045371207)",OWS,OWS1,Q038,VALUE,45,Grade,11th,GRADE,GRADE11
6531,2015,OK,Oklahoma,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.3,14.4,20.7,1528.0,Total,,,,,,,"(35.472031356, -97.521070214)",OWS,OWS1,Q038,VALUE,40,Total,Total,OVR,OVERALL
6546,2015,MO,Missouri,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.6,8.4,18.5,383.0,,,,,11th,,,"(38.635790776, -92.566300053)",OWS,OWS1,Q038,VALUE,29,Grade,11th,GRADE,GRADE11
6653,2015,ND,North Dakota,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.8,10.1,16.0,500.0,,,,,12th,,,"(47.475319779, -100.118421049)",OWS,OWS1,Q038,VALUE,38,Grade,12th,GRADE,GRADE12
6921,2015,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.7,13.1,25.9,220.0,,,,,,,2 or more races,"(47.066528972, -109.424420645)",OWS,OWS1,Q038,VALUE,30,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
6924,2015,NC,North Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.5,9.5,16.3,2792.0,,,,Female,,,,"(35.466220975, -79.159250463)",OWS,OWS1,Q038,VALUE,37,Gender,Female,GEN,FEMALE
7059,2015,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.7,10.7,15.1,3360.0,,,,,12th,,,,OWS,OWS1,Q038,VALUE,59,Grade,12th,GRADE,GRADE12
7211,2015,VT,Vermont,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.3,12.4,14.3,4953.0,,,,,10th,,,"(43.625381239, -72.517640791)",OWS,OWS1,Q038,VALUE,50,Grade,10th,GRADE,GRADE10
7581,2015,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.3,7.2,14.5,494.0,,,,,11th,,,"(41.56266102, -72.649840952)",OWS,OWS1,Q038,VALUE,9,Grade,11th,GRADE,GRADE11
7591,2015,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.5,12.0,19.8,818.0,,,,,12th,,,"(44.661319543001, -84.71439027)",OWS,OWS1,Q038,VALUE,26,Grade,12th,GRADE,GRADE12
7717,2015,WY,Wyoming,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.0,9.6,12.6,2277.0,Total,,,,,,,"(43.235541343, -108.109830353)",OWS,OWS1,Q038,VALUE,56,Total,Total,OVR,OVERALL
7764,2015,KY,Kentucky,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.3,12.6,23.2,534.0,,,,,11th,,,"(37.645970271, -84.774971048)",OWS,OWS1,Q038,VALUE,21,Grade,11th,GRADE,GRADE11
7776,2015,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.2,11.8,14.8,6982.0,,,,,,,Non-Hispanic White,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
8052,2015,RI,Rhode Island,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.8,10.0,16.2,885.0,,,,,9th,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q038,VALUE,44,Grade,9th,GRADE,GRADE09
8368,2015,VT,Vermont,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,8.6,8.1,9.2,9238.0,,,,Female,,,,"(43.625381239, -72.517640791)",OWS,OWS1,Q038,VALUE,50,Gender,Female,GEN,FEMALE
8416,2015,VA,Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.3,10.8,16.2,966.0,,,,,11th,,,"(37.542680674, -78.457890463)",OWS,OWS1,Q038,VALUE,51,Grade,11th,GRADE,GRADE11
8491,2015,MS,Mississippi,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.0,12.5,22.6,264.0,,,,,11th,,,"(32.745510099, -89.538030825)",OWS,OWS1,Q038,VALUE,28,Grade,11th,GRADE,GRADE11
9059,2015,SC,South Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.7,15.3,22.6,403.0,,,,,,,Non-Hispanic Black,"(33.998821303, -81.045371207)",OWS,OWS1,Q038,VALUE,45,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
9140,2015,KY,Kentucky,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,20.6,17.6,24.1,1185.0,,,,Male,,,,"(37.645970271, -84.774971048)",OWS,OWS1,Q038,VALUE,21,Gender,Male,GEN,MALE
9393,2015,NY,New York,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.5,10.9,16.7,2061.0,,,,,,,Non-Hispanic Black,"(42.827001032, -75.543970427)",OWS,OWS1,Q038,VALUE,36,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
9435,2015,OK,Oklahoma,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,22.8,17.0,30.0,285.0,,,,,,,Hispanic,"(35.472031356, -97.521070214)",OWS,OWS1,Q038,VALUE,40,Race/Ethnicity,Hispanic,RACE,RACEHIS
9488,2015,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.7,10.4,23.1,238.0,,,,,,,Non-Hispanic Black,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
9508,2015,AL,Alabama,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.5,9.9,18.2,717.0,,,,Female,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q038,VALUE,1,Gender,Female,GEN,FEMALE
9637,2015,NC,North Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.7,4.0,41.6,159.0,,,,,,,Asian,"(35.466220975, -79.159250463)",OWS,OWS1,Q038,VALUE,37,Race/Ethnicity,Asian,RACE,RACEASN
9730,2015,NH,New Hampshire,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.4,12.1,14.8,3757.0,,,,,9th,,,"(43.655950113, -71.50036092)",OWS,OWS1,Q038,VALUE,33,Grade,9th,GRADE,GRADE09
10142,2015,CA,California,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.5,15.2,22.3,857.0,,,,Male,,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q038,VALUE,6,Gender,Male,GEN,MALE
10369,2015,PA,Pennsylvania,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.4,12.8,18.4,1385.0,,,,Male,,,,"(40.793730152, -77.860700294)",OWS,OWS1,Q038,VALUE,42,Gender,Male,GEN,MALE
10574,2015,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.7,12.7,19.3,497.0,,,,,,,Hispanic,"(41.56266102, -72.649840952)",OWS,OWS1,Q038,VALUE,9,Race/Ethnicity,Hispanic,RACE,RACEHIS
10640,2015,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.8,13.1,23.8,151.0,,,,,,,2 or more races,"(64.845079957001, -147.722059036)",OWS,OWS1,Q038,VALUE,2,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
10701,2015,MS,Mississippi,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,20.0,12.1,31.1,119.0,,,,,,,2 or more races,"(32.745510099, -89.538030825)",OWS,OWS1,Q038,VALUE,28,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
10738,2015,NE,Nebraska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.4,10.1,20.2,249.0,,,,,,,Hispanic,"(41.641040988001, -99.365720623)",OWS,OWS1,Q038,VALUE,31,Race/Ethnicity,Hispanic,RACE,RACEHIS
10781,2015,CA,California,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.4,9.1,19.3,431.0,,,,,11th,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q038,VALUE,6,Grade,11th,GRADE,GRADE11
10907,2015,NV,Nevada,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.2,10.3,14.4,1398.0,Total,,,,,,,"(39.49324039, -117.071840564)",OWS,OWS1,Q038,VALUE,32,Total,Total,OVR,OVERALL
10931,2015,CA,California,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.5,11.2,21.1,331.0,,,,,12th,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q038,VALUE,6,Grade,12th,GRADE,GRADE12
10993,2015,IL,Illinois,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.5,10.2,17.8,568.0,,,,,,,Non-Hispanic Black,"(40.485010283, -88.997710178)",OWS,OWS1,Q038,VALUE,17,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
11034,2015,FL,Florida,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,8.7,7.5,10.0,2863.0,,,,Female,,,,"(28.932040377, -81.928960539)",OWS,OWS1,Q038,VALUE,12,Gender,Female,GEN,FEMALE
11068,2015,GU,Guam,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,21.6,17.1,26.9,290.0,,,,,9th,,,"(13.444304, 144.793731)",OWS,OWS1,Q038,VALUE,66,Grade,9th,GRADE,GRADE09
11255,2015,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.0,11.7,14.5,3642.0,,,,,9th,,,,OWS,OWS1,Q038,VALUE,59,Grade,9th,GRADE,GRADE09
