,Year,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Gender,Grade,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
239,2011,WV,West Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.5,16.3,23.1,1005.0,,,,Male,,,,"(38.665510202, -80.712640135)",OWS,OWS1,Q038,VALUE,54,Gender,Male,GEN,MALE
332,2011,DE,Delaware,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.0,7.9,12.6,1079.0,,,,,,,Non-Hispanic White,"(39.008830667, -75.577741168)",OWS,OWS1,Q038,VALUE,10,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
442,2011,NE,Nebraska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.5,12.0,30.1,103.0,,,,,,,2 or more races,"(41.641040988001, -99.365720623)",OWS,OWS1,Q038,VALUE,31,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
478,2011,VA,Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.8,8.9,18.1,427.0,,,,,9th,,,"(37.542680674, -78.457890463)",OWS,OWS1,Q038,VALUE,51,Grade,9th,GRADE,GRADE09
509,2011,ND,North Dakota,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.6,8.3,11.3,1552.0,,,,,,,Non-Hispanic White,"(47.475319779, -100.118421049)",OWS,OWS1,Q038,VALUE,38,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
708,2011,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,8.0,6.3,10.1,1096.0,,,,,9th,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q038,VALUE,30,Grade,9th,GRADE,GRADE09
979,2011,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.4,8.6,12.7,1019.0,,,,,12th,,,"(44.661319543001, -84.71439027)",OWS,OWS1,Q038,VALUE,26,Grade,12th,GRADE,GRADE12
1176,2011,KY,Kentucky,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.1,13.6,19.0,1316.0,,,,,,,Non-Hispanic White,"(37.645970271, -84.774971048)",OWS,OWS1,Q038,VALUE,21,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
1278,2011,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.2,10.3,14.4,2217.0,,,,,9th,,,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Grade,9th,GRADE,GRADE09
1345,2011,NC,North Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.7,7.2,12.9,1195.0,,,,,,,Non-Hispanic White,"(35.466220975, -79.159250463)",OWS,OWS1,Q038,VALUE,37,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
1370,2011,NC,North Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.9,10.1,16.4,2194.0,Total,,,,,,,"(35.466220975, -79.159250463)",OWS,OWS1,Q038,VALUE,37,Total,Total,OVR,OVERALL
1380,2011,RI,Rhode Island,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.9,8.3,14.3,681.0,,,,,12th,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q038,VALUE,44,Grade,12th,GRADE,GRADE12
1808,2011,TN,Tennessee,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.5,12.0,17.3,490.0,,,,,12th,,,"(35.68094058, -85.774490914)",OWS,OWS1,Q038,VALUE,47,Grade,12th,GRADE,GRADE12
1982,2011,NJ,New Jersey,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.2,12.3,23.4,173.0,,,,,,,Non-Hispanic Black,"(40.130570048, -74.273691288)",OWS,OWS1,Q038,VALUE,34,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
1983,2011,OH,Ohio,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.2,11.1,18.1,772.0,,,,,,,Non-Hispanic White,"(40.060210141, -82.404260056)",OWS,OWS1,Q038,VALUE,39,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2276,2011,VT,Vermont,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.9,8.1,12.0,7667.0,Total,,,,,,,"(43.625381239, -72.517640791)",OWS,OWS1,Q038,VALUE,50,Total,Total,OVR,OVERALL
2327,2011,VA,Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.1,8.8,13.8,1380.0,Total,,,,,,,"(37.542680674, -78.457890463)",OWS,OWS1,Q038,VALUE,51,Total,Total,OVR,OVERALL
2387,2011,OK,Oklahoma,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.8,12.3,27.7,131.0,,,,,,,2 or more races,"(35.472031356, -97.521070214)",OWS,OWS1,Q038,VALUE,40,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2448,2011,VT,Vermont,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.8,7.8,12.3,6349.0,,,,,,,Non-Hispanic White,"(43.625381239, -72.517640791)",OWS,OWS1,Q038,VALUE,50,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2533,2011,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,8.4,6.2,11.3,998.0,,,,Female,,,,"(41.56266102, -72.649840952)",OWS,OWS1,Q038,VALUE,9,Gender,Female,GEN,FEMALE
2544,2011,RI,Rhode Island,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.8,8.8,13.3,3775.0,Total,,,,,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q038,VALUE,44,Total,Total,OVR,OVERALL
2800,2011,SD,South Dakota,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.0,9.9,14.6,693.0,,,,Male,,,,"(44.353130053, -100.373530637)",OWS,OWS1,Q038,VALUE,46,Gender,Male,GEN,MALE
2838,2011,FL,Florida,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.5,10.4,12.7,5323.0,Total,,,,,,,"(28.932040377, -81.928960539)",OWS,OWS1,Q038,VALUE,12,Total,Total,OVR,OVERALL
2959,2011,SD,South Dakota,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,8.8,6.9,11.1,1149.0,,,,,,,Non-Hispanic White,"(44.353130053, -100.373530637)",OWS,OWS1,Q038,VALUE,46,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
3111,2011,AL,Alabama,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,20.6,14.1,29.2,335.0,,,,,10th,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q038,VALUE,1,Grade,10th,GRADE,GRADE10
3131,2011,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,5.5,3.8,7.8,381.0,,,,,,,Non-Hispanic White,"(21.304850435, -157.857749403)",OWS,OWS1,Q038,VALUE,15,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
3177,2011,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.8,6.8,8.9,3184.0,,,,,,,Non-Hispanic White,"(47.066528972, -109.424420645)",OWS,OWS1,Q038,VALUE,30,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
3235,2011,UT,Utah,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.0,4.7,10.3,336.0,,,,,10th,,,"(39.360700171, -111.587130635)",OWS,OWS1,Q038,VALUE,49,Grade,10th,GRADE,GRADE10
3269,2011,ND,North Dakota,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.8,9.0,15.2,593.0,,,,,9th,,,"(47.475319779, -100.118421049)",OWS,OWS1,Q038,VALUE,38,Grade,9th,GRADE,GRADE09
3465,2011,ID,Idaho,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.4,9.2,14.0,787.0,,,,Male,,,,"(43.682630005, -114.363730042)",OWS,OWS1,Q038,VALUE,16,Gender,Male,GEN,MALE
3512,2011,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.5,9.9,13.2,2938.0,,,,,,,Non-Hispanic White,"(44.661319543001, -84.71439027)",OWS,OWS1,Q038,VALUE,26,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
3519,2011,VA,Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.0,9.1,18.2,188.0,,,,,,,Hispanic,"(37.542680674, -78.457890463)",OWS,OWS1,Q038,VALUE,51,Race/Ethnicity,Hispanic,RACE,RACEHIS
3674,2011,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.0,7.1,16.5,494.0,,,,,11th,,,"(41.56266102, -72.649840952)",OWS,OWS1,Q038,VALUE,9,Grade,11th,GRADE,GRADE11
3770,2011,WI,Wisconsin,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,6.8,5.6,8.4,1487.0,,,,Female,,,,"(44.393191174, -89.816370742)",OWS,OWS1,Q038,VALUE,55,Gender,Female,GEN,FEMALE
3847,2011,OH,Ohio,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.7,11.9,18.0,1367.0,Total,,,,,,,"(40.060210141, -82.404260056)",OWS,OWS1,Q038,VALUE,39,Total,Total,OVR,OVERALL
3913,2011,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.5,6.1,9.2,812.0,,,,,12th,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q038,VALUE,30,Grade,12th,GRADE,GRADE12
3965,2011,ND,North Dakota,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.4,5.4,10.0,951.0,,,,Female,,,,"(47.475319779, -100.118421049)",OWS,OWS1,Q038,VALUE,38,Gender,Female,GEN,FEMALE
3982,2011,MS,Mississippi,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.6,9.4,16.8,402.0,,,,,11th,,,"(32.745510099, -89.538030825)",OWS,OWS1,Q038,VALUE,28,Grade,11th,GRADE,GRADE11
4017,2011,RI,Rhode Island,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.3,12.8,18.2,915.0,,,,,,,Hispanic,"(41.708280193, -71.522470314)",OWS,OWS1,Q038,VALUE,44,Race/Ethnicity,Hispanic,RACE,RACEHIS
4574,2011,MS,Mississippi,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.0,15.0,21.5,509.0,,,,,9th,,,"(32.745510099, -89.538030825)",OWS,OWS1,Q038,VALUE,28,Grade,9th,GRADE,GRADE09
4767,2011,VA,Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.1,8.8,13.9,353.0,,,,,11th,,,"(37.542680674, -78.457890463)",OWS,OWS1,Q038,VALUE,51,Grade,11th,GRADE,GRADE11
5148,2011,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.8,7.1,16.1,162.0,,,,,,,2 or more races,"(39.290580964, -76.609260111)",OWS,OWS1,Q038,VALUE,24,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
5174,2011,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.7,7.9,19.7,120.0,,,,,,,2 or more races,"(64.845079957001, -147.722059036)",OWS,OWS1,Q038,VALUE,2,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
5196,2011,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,8.1,6.6,9.8,2019.0,,,,Female,,,,"(44.661319543001, -84.71439027)",OWS,OWS1,Q038,VALUE,26,Gender,Female,GEN,FEMALE
5305,2011,IN,Indiana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.8,14.7,21.4,1313.0,,,,Male,,,,"(39.766910452, -86.149960194)",OWS,OWS1,Q038,VALUE,18,Gender,Male,GEN,MALE
5606,2011,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.7,8.0,19.6,972.0,,,,,10th,,,"(21.304850435, -157.857749403)",OWS,OWS1,Q038,VALUE,15,Grade,10th,GRADE,GRADE10
5909,2011,WV,West Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.9,10.3,23.7,448.0,,,,,12th,,,"(38.665510202, -80.712640135)",OWS,OWS1,Q038,VALUE,54,Grade,12th,GRADE,GRADE12
5951,2011,LA,Louisiana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.3,13.5,24.3,318.0,,,,,11th,,,"(31.312660644, -92.445680071)",OWS,OWS1,Q038,VALUE,22,Grade,11th,GRADE,GRADE11
6073,2011,KS,Kansas,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.3,10.2,14.8,852.0,,,,Male,,,,"(38.3477403, -98.200781227)",OWS,OWS1,Q038,VALUE,20,Gender,Male,GEN,MALE
6087,2011,FL,Florida,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.7,8.1,11.5,2190.0,,,,,,,Non-Hispanic White,"(28.932040377, -81.928960539)",OWS,OWS1,Q038,VALUE,12,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
6568,2011,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.2,8.9,19.3,132.0,,,,,,,Hispanic,"(64.845079957001, -147.722059036)",OWS,OWS1,Q038,VALUE,2,Race/Ethnicity,Hispanic,RACE,RACEHIS
6587,2011,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.0,5.9,13.6,221.0,,,,,12th,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q038,VALUE,2,Grade,12th,GRADE,GRADE12
6689,2011,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.4,6.4,16.5,302.0,,,,,11th,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q038,VALUE,2,Grade,11th,GRADE,GRADE11
6866,2011,VT,Vermont,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.5,8.2,18.6,277.0,,,,,,,Hispanic,"(43.625381239, -72.517640791)",OWS,OWS1,Q038,VALUE,50,Race/Ethnicity,Hispanic,RACE,RACEHIS
6989,2011,FL,Florida,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.4,9.8,13.2,1476.0,,,,,,,Hispanic,"(28.932040377, -81.928960539)",OWS,OWS1,Q038,VALUE,12,Race/Ethnicity,Hispanic,RACE,RACEHIS
7030,2011,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.6,14.1,24.2,371.0,,,,,12th,,,"(38.890371385, -77.031961127)",OWS,OWS1,Q038,VALUE,11,Grade,12th,GRADE,GRADE12
7141,2011,SD,South Dakota,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.5,5.2,10.7,794.0,,,,Female,,,,"(44.353130053, -100.373530637)",OWS,OWS1,Q038,VALUE,46,Gender,Female,GEN,FEMALE
7787,2011,NC,North Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.0,11.3,19.8,512.0,,,,,11th,,,"(35.466220975, -79.159250463)",OWS,OWS1,Q038,VALUE,37,Grade,11th,GRADE,GRADE11
7848,2011,NY,New York,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.2,9.2,15.9,3162.0,,,,,9th,,,"(42.827001032, -75.543970427)",OWS,OWS1,Q038,VALUE,36,Grade,9th,GRADE,GRADE09
7923,2011,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.2,8.5,19.9,367.0,,,,,,,Hispanic,"(39.290580964, -76.609260111)",OWS,OWS1,Q038,VALUE,24,Race/Ethnicity,Hispanic,RACE,RACEHIS
7935,2011,IN,Indiana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.4,12.0,14.9,2106.0,,,,,,,Non-Hispanic White,"(39.766910452, -86.149960194)",OWS,OWS1,Q038,VALUE,18,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
8047,2011,TN,Tennessee,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.4,10.3,14.8,1269.0,,,,Female,,,,"(35.68094058, -85.774490914)",OWS,OWS1,Q038,VALUE,47,Gender,Female,GEN,FEMALE
8506,2011,OH,Ohio,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.1,10.2,16.7,377.0,,,,,9th,,,"(40.060210141, -82.404260056)",OWS,OWS1,Q038,VALUE,39,Grade,9th,GRADE,GRADE09
8724,2011,VT,Vermont,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.5,8.6,12.8,1994.0,,,,,10th,,,"(43.625381239, -72.517640791)",OWS,OWS1,Q038,VALUE,50,Grade,10th,GRADE,GRADE10
9108,2011,SC,South Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.1,14.5,22.2,757.0,,,,Male,,,,"(33.998821303, -81.045371207)",OWS,OWS1,Q038,VALUE,45,Gender,Male,GEN,MALE
9247,2011,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.6,14.0,17.3,1219.0,,,,,,,Non-Hispanic Black,"(39.290580964, -76.609260111)",OWS,OWS1,Q038,VALUE,24,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
9467,2011,ID,Idaho,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.6,5.4,10.6,478.0,,,,,9th,,,"(43.682630005, -114.363730042)",OWS,OWS1,Q038,VALUE,16,Grade,9th,GRADE,GRADE09
9611,2011,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.5,8.1,13.5,1434.0,,,,Female,,,,"(39.290580964, -76.609260111)",OWS,OWS1,Q038,VALUE,24,Gender,Female,GEN,FEMALE
9749,2011,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.7,6.4,9.2,4251.0,,,,Female,,,,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Gender,Female,GEN,FEMALE
9922,2011,NE,Nebraska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.2,10.4,19.2,220.0,,,,,,,Non-Hispanic Black,"(41.641040988001, -99.365720623)",OWS,OWS1,Q038,VALUE,31,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
9960,2011,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.2,11.7,24.4,257.0,,,,,,,Hispanic,"(44.661319543001, -84.71439027)",OWS,OWS1,Q038,VALUE,26,Race/Ethnicity,Hispanic,RACE,RACEHIS
10091,2011,NJ,New Jersey,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.0,9.2,13.2,1626.0,Total,,,,,,,"(40.130570048, -74.273691288)",OWS,OWS1,Q038,VALUE,34,Total,Total,OVR,OVERALL
10143,2011,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.8,7.5,12.8,1254.0,,,,,,,Non-Hispanic White,"(41.56266102, -72.649840952)",OWS,OWS1,Q038,VALUE,9,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
10621,2011,NM,New Mexico,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.9,9.4,20.0,132.0,,,,,,,2 or more races,"(34.520880952, -106.240580985)",OWS,OWS1,Q038,VALUE,35,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
10715,2011,NC,North Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.0,9.6,17.2,602.0,,,,,10th,,,"(35.466220975, -79.159250463)",OWS,OWS1,Q038,VALUE,37,Grade,10th,GRADE,GRADE10
10854,2011,IN,Indiana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.7,13.1,16.6,2746.0,Total,,,,,,,"(39.766910452, -86.149960194)",OWS,OWS1,Q038,VALUE,18,Total,Total,OVR,OVERALL
10856,2011,WI,Wisconsin,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.4,9.0,12.1,2969.0,Total,,,,,,,"(44.393191174, -89.816370742)",OWS,OWS1,Q038,VALUE,55,Total,Total,OVR,OVERALL
